record_id,object_type,property,old_value,new_value,derived_from,status
52295708192,meeting,meeting_source,,Direct Traffic,contact:17649358342:stat_latest_source,dry-run
52788780290,meeting,meeting_source,,Email Campaign,company:50796010413:stat_latest_source,dry-run
73817499301,meeting,meeting_source,,Customer Import,company:1087994034:stat_latest_source,dry-run
74147950179,meeting,meeting_source,,Conference,company:30645171873:stat_latest_source,dry-run
76902470923,meeting,meeting_source,,Digital Marketing,company:18004800939:stat_latest_source,dry-run
77275660571,meeting,meeting_source,,Cold Call,company:18004430376:stat_latest_source,dry-run
78281572637,meeting,meeting_source,,Other,company:32107943352:stat_latest_source,dry-run
104111960421,meeting,meeting_source,,Webinar,contact:175755066808:stat_latest_source,dry-run
385789309,deal,lead_source,,,no source found,skipped
385789392,deal,lead_source,,,no source found,skipped
385875472,deal,lead_source,,List Import,company:1003419250:stat_latest_source,dry-run
385875532,deal,lead_source,,,no source found,skipped
385875561,deal,lead_source,,Integration,company:41188263049:stat_latest_source,dry-run
385876360,deal,lead_source,,Prospecting,company:40105555789:stat_latest_source,dry-run
385876407,deal,lead_source,,Sponsored Event,deal:385876407:oc_source,dry-run
426375987,deal,lead_source,,,no source found,skipped
454895101,deal,lead_source,,Sponsored Event,deal:454895101:source_history,dry-run
455795523,deal,lead_source,,Prospecting,company:40105555789:stat_latest_source,dry-run
455823176,deal,lead_source,,,no source found,skipped
455868447,deal,lead_source,,,no source found,skipped
459503946,deal,lead_source,,Integration,company:41705935134:stat_latest_source,dry-run
459504298,deal,lead_source,,,no source found,skipped
460569445,deal,lead_source,,,no source found,skipped
463893437,deal,lead_source,,Integration,company:46717827362:stat_latest_source,dry-run
472816611,deal,lead_source,,Sponsored Event,deal:472816611:oc_source,dry-run
493823643,deal,lead_source,,,no source found,skipped
498810301,deal,lead_source,,Prospecting,deal:498810301:oc_source,dry-run
533747187,deal,lead_source,,,no source found,skipped
533748344,deal,lead_source,,List Import,company:41226676587:stat_latest_source,dry-run
533749695,deal,lead_source,,Web Link,deal:533749695:oc_source,dry-run
533749734,deal,lead_source,,,no source found,skipped
577464102,deal,lead_source,,Prospecting,company:41221722950:stat_latest_source,dry-run
577527646,deal,lead_source,,Meeting Attendee,company:41190126949:stat_latest_source,dry-run
588852606,deal,lead_source,,Integration,company:1003419180:stat_latest_source,dry-run
599959366,deal,lead_source,,,no source found,skipped
599995790,deal,lead_source,,,no source found,skipped
